document	topic	gamma
300_1822	1	0.2642857142857143
301_1822	1	0.026595744680851064
302_1822	1	0.0024630541871921183
303_1822	1	0.019553072625698324
304_1822	1	0.01764705882352941
305_1822	1	0.006024096385542169
306_1822	1	0.047872340425531915
307_1823	1	0.0016722408026755853
308_1823	1	0.012626262626262626
309_1823	1	0.01877133105802048
31_1820	1	0.006097560975609756
310_1823	1	0.005434782608695652
311_1823	1	0.002688172043010753
312_1823	1	0.01020408163265306
313_1824	1	0.003472222222222222
314_1824	1	0.0018796992481203006
316_1831	1	0.04096228868660598
317_1831	1	0.008620689655172414
318_1831	1	0.013157894736842105
319_1831	1	0.03977272727272727
32_1820	1	0.008928571428571428
323_1831	1	0.008771929824561403
326_1827	1	0.00423728813559322
327_1835	1	0.0048543689320388345
328_1832	1	0.038461538461538464
329_1832	1	0.010638297872340425
33_1820	1	0.010416666666666666
330_1832	1	0.015151515151515152
331_1830	1	0.022058823529411766
332_1828	1	0.016025641025641024
333_1820	1	0.0040650406504065045
334_1820	1	0.0078125
335_1820	1	0.00819672131147541
336_1825	1	0.014563106796116505
337_1825	1	0.00423728813559322
338_1825	1	0.007575757575757576
339_1821	1	0.13970588235294118
34_1821	1	0.0047169811320754715
341_1822	1	0.002403846153846154
343_1823	1	0.003105590062111801
344_1816	1	0.04757281553398058
345_1816	1	0.24169741697416974
346_1817	1	0.003246753246753247
347_1817	1	0.008426966292134831
349_1817	1	0.00872093023255814
35_1821	1	0.0023923444976076554
350_1817	1	0.04824561403508772
351_1817	1	0.004364089775561097
352_1818	1	0.01744186046511628
353_1818	1	0.016339869281045753
354_1818	1	0.006
355_1821	1	0.0026041666666666665
356_1825	1	0.0025252525252525255
357_1826	1	0.0021008403361344537
358_1827	1	0.11538461538461539
359_1829	1	0.022058823529411766
36_1821	1	0.0625
360_1831	1	0.004347826086956522
362_1830	1	0.05813953488372093
363_1831	1	0.0035460992907801418
364_1828	1	0.008333333333333333
365_1828	1	0.003067484662576687
366_1828	1	0.026785714285714284
367_1827	1	0.01020408163265306
368_1827	1	0.0078125
369_1828	1	0.0200845665961945
37_1821	1	0.0040650406504065045
370_1829	1	0.0375
371_1829	1	0.006493506493506494
373_1830	1	0.07142857142857142
374_1830	1	0.005952380952380952
375_1829	1	0.018292682926829267
376_1829	1	0.004310344827586207
377_1830	1	0.03103448275862069
378_1830	1	0.00423728813559322
379_1830	1	0.02358490566037736
38_1821	1	0.007042253521126761
380_1830	1	0.04891304347826087
381_1830	1	0.006666666666666667
382_1830	1	0.00510204081632653
383_1825	1	0.0035714285714285713
386_1825	1	0.0030303030303030303
387_1826	1	0.03977272727272727
389_1826	1	0.004201680672268907
39_1821	1	0.009615384615384616
390_1826	1	0.011111111111111112
392_1826	1	0.0031645569620253164
393_1826	1	0.01699029126213592
394_1826	1	0.07553956834532374
395_1830	1	0.03571428571428571
396_1830	1	0.004901960784313725
397_1825	1	0.006048387096774193
398_1831	1	0.003703703703703704
399_1831	1	0.008771929824561403
4_1819	1	0.0035714285714285713
40_1822	1	0.00684931506849315
400_1832	1	0.01048951048951049
401_1832	1	0.026595744680851064
403_1833	1	0.004672897196261682
405_1833	1	0.016483516483516484
406_1833	1	0.04090909090909091
407_1833	1	0.02027027027027027
408_1833	1	0.005555555555555556
409_1827	1	0.04375
41_1822	1	0.0037313432835820895
410_1834	1	0.03333333333333333
411_1834	1	0.010869565217391304
412_1834	1	0.01327433628318584
413_1834	1	0.005376344086021506
414_1834	1	0.03260869565217391
415_1834	1	0.20270270270270271
416_1834	1	0.003968253968253968
417_1834	1	0.004464285714285714
418_1834	1	0.03271028037383177
419_1834	1	0.00909090909090909
42_1822	1	0.0022222222222222222
420_1827	1	0.00641025641025641
421_1835	1	0.01104417670682731
422_1821	1	0.006437768240343348
423_1821	1	0.019187358916478554
424_1821	1	0.21193771626297578
425_1826	1	0.16346153846153846
426_1827	1	0.013392857142857142
428_1825	1	0.0020920502092050207
429_1826	1	0.025179856115107913
43_1822	1	0.002617801047120419
430_1826	1	0.004098360655737705
431_1829	1	0.0048543689320388345
432_1830	1	0.007142857142857143
433_1821	1	0.04054054054054054
434_1830	1	0.011811023622047244
435_1830	1	0.00684931506849315
436_1830	1	0.01764705882352941
437_1830	1	0.004792332268370607
438_1830	1	0.052083333333333336
439_1825	1	0.0029411764705882353
44_1823	1	0.0013550135501355014
440_1828	1	0.010638297872340425
441_1824	1	0.0025906735751295338
442_1825	1	0.023809523809523808
443_1826	1	0.013636363636363636
444_1826	1	0.006097560975609756
445_1826	1	0.00909090909090909
446_1827	1	0.0027472527472527475
447_1827	1	0.00684931506849315
448_1827	1	0.0020161290322580645
449_1827	1	0.010869565217391304
45_1823	1	0.011278195488721804
450_1827	1	0.0078125
451_1829	1	0.28030993618960803
452_1829	1	0.0029940119760479044
453_1829	1	0.014285714285714285
454_1830	1	0.03794642857142857
455_1830	1	0.008426966292134831
456_1831	1	0.02464788732394366
457_1830	1	0.00423728813559322
458_1822	1	0.005319148936170213
459_1822	1	0.10897435897435898
460_1822	1	0.00909090909090909
461_1822	1	0.005263157894736842
462_1822	1	0.03676470588235294
463_1823	1	0.004901960784313725
464_1823	1	0.0778688524590164
465_1823	1	0.006097560975609756
466_1823	1	0.004166666666666667
467_1825	1	0.043859649122807015
47_1821	1	0.0018726591760299626
49_1821	1	0.042483660130718956
497_1827	1	0.07945736434108527
5_1819	1	0.007530120481927711
50_1822	1	0.015957446808510637
51_1822	1	0.015
516_1832	1	0.1
517_1833	1	0.03231939163498099
53_1822	1	0.0015432098765432098
55_1821	1	0.00625
56_1821	1	0.05357142857142857
564_1823	1	0.003125
567_1835	1	0.003968253968253968
568_1835	1	0.009259259259259259
569_1835	1	0.034653465346534656
57_1821	1	0.0045045045045045045
570_1833	1	0.021634615384615384
58_1823	1	0.13474025974025974
581_1827	1	0.00909090909090909
582_1827	1	0.004032258064516129
583_1827	1	0.01020408163265306
584_1827	1	0.06460674157303371
585_1827	1	0.010638297872340425
586_1827	1	0.09296482412060302
59_1823	1	0.007614213197969543
598_1834	1	0.003875968992248062
599_1835	1	0.0048543689320388345
6_1819	1	0.07051282051282051
600_1835	1	7.320644216691069e-4
601_1829	1	0.006493506493506494
602_1829	1	0.030120481927710843
61_1822	1	0.05018587360594796
612_1827	1	0.060810810810810814
615_1827	1	0.006944444444444444
62_1822	1	0.10242290748898679
63_1823	1	0.06028368794326241
64_1823	1	0.0025906735751295338
65_1823	1	0.00882825040128411
66_1823	1	0.01896551724137931
67_1823	1	0.04723127035830619
69_1825	1	0.0024752475247524753
7_1819	1	0.017195767195767195
70_1825	1	0.00641025641025641
71_1825	1	0.04310344827586207
75_1821	1	0.1971153846153846
77_1821	1	0.06074766355140187
8_1820	1	0.001597444089456869
80_1824	1	0.05080213903743316
82_1824	1	0.06372549019607843
83_1824	1	0.0234375
84_1824	1	0.012295081967213115
85_1824	1	0.0390625
86_1824	1	0.003816793893129771
87_1824	1	0.01583710407239819
88_1824	1	0.012195121951219513
89_1824	1	0.007042253521126761
9_1820	1	0.008333333333333333
90_1825	1	0.0029940119760479044
91_1825	1	0.005952380952380952
92_1826	1	0.0022624434389140274
93_1826	1	0.08653846153846154
94_1826	1	0.03424657534246575
95_1826	1	0.03216374269005848
96_1826	1	0.00625
97_1824	1	0.03146853146853147
98_1824	1	0.0576036866359447
99_1824	1	0.01050420168067227
1_1818	2	0.025510204081632654
10_1820	2	0.016666666666666666
100_1825	2	0.0125
101_1825	2	0.011363636363636364
102_1825	2	0.06944444444444445
103_1825	2	0.036585365853658534
104_1825	2	0.016129032258064516
105_1826	2	0.006756756756756757
11_1820	2	0.040625
112_1824	2	0.01
113_1824	2	0.03260869565217391
114_1824	2	0.0015625
115_1824	2	0.036016949152542374
116_1824	2	0.015463917525773196
117_1827	2	0.007352941176470588
119_1826	2	0.008064516129032258
12_1820	2	0.04084158415841584
120_1826	2	0.0021645021645021645
121_1826	2	0.011904761904761904
122_1824	2	0.05421686746987952
123_1824	2	0.04639175257731959
124_1824	2	0.02586206896551724
127_1830	2	0.011904761904761904
128_1830	2	0.05844155844155844
